Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female
Golden Retriever,10,12,24,24,75,65,23,23,65,55
Dachshund,12,16,9,9,32,32,8,8,16,16
Labrador Retriever,10,12,24.5,24.5,80,70,22.5,22.5,65,55
Great Dane,7,10,32,32,175,140,30,30,140,110
Boxer,10,12,25,25,80,65,23,23,65,50
Dalmatian,11,13,24,24,70,70,19,19,45,45
Poodle (Miniature),10,18,15,15,15,15,10,10,10,10
Bullmastiff,7,9,27,27,130,120,25,25,110,100
Beagle,10,15,16,15,20,30,14,13,15,20
Border Collie,12,15,22,22,55,55,19,19,30,30
Siberian Husky,12,14,23.5,23.5,60,50,21,21,45,35
Shih Tzu,10,18,10.5,10.5,16,16,9,9,9,9
Pomeranian,12,16,7,7,7,7,6,6,3,3
Cardigan Welsh Corgi,12,15,12.5,12.5,38,34,10.5,10.5,30,25
Greyhound,10,13,30,30,70,65,28,28,65,60
Chow Chow,8,12,20,20,70,70,17,17,45,45
Chinese Shar-Pei,8,12,20,20,60,60,18,18,45,45
Cocker Spaniel,10,14,15.5,15.5,30,25,14.5,14.5,25,20
Great Pyrenees,10,12,32,32,120,90,27,27,110,80
West Highland White Terrier,13,15,11,11,20,20,11,11,15,15
Bernese Mountain Dog,7,10,27.5,27.5,115,95,25,25,80,70
Bull Terrier,12,13,22,22,70,70,21,21,50,50
Newfoundland,9,10,28,28,150,120,28,28,130,100
Basset Hound,12,13,15,14,65,65,12,11,40,40
German Longhaired Pointer,12,14,28,28,80,80,22,22,55,55
Pug,13,15,13,13,18,18,10,10,14,14
Boston Terrier,11,13,17,17,25,25,15,15,12,12
Maltese,12,15,9,9,8.8,8.8,7,7,6.6,6.6
Bichon Frise,14,15,11.5,11.5,18,18,9.5,9.5,12,12
American Bulldog,10,12,28,24,100,80,20,20,75,60
Chihuahua,14,16,8,8,6,6,5,5,4,4
Rottweiler,9,10,27,27,135,100,24,24,95,80
Vizsla,12,14,24,24,60,55,22,22,55,44
Akita,10,14,28,28,130,100,26,26,100,70
Shetland Sheepdog,12,14,16,16,25,25,13,13,15,15
Bloodhound,10,12,27,27,110,100,25,25,90,80
Irish Setter,12,15,27,27,70,60,27,27,70,60
Komondor,10,12,30,27,130,110,28,25,110,88
Otterhound,10,13,27,27,115,80,27,27,115,80
Beauceron,10,12,27.5,27.5,110,110,25.5,25.5,70,70
Treeing Walker Coonhound,12,13,27,27,70,70,22,22,50,50
Giant Schnauzer,12,15,27.5,27.5,85,75,25.5,25.5,60,55
Shiba Inu,13,16,16.5,16.5,23,17,14.5,14.5,23,17
Norfolk Terrier,12,16,10,10,12,12,9,9,11,11
Afghan Hound,12,18,27,27,60,60,25,25,50,50
Brittany,12,14,20.5,20.5,40,40,17.5,17.5,30,30
Chinook,12,15,26,26,90,65,24,24,55,50
Doberman Pinscher,10,12,28,28,100,90,26,26,75,60
Pekingese,12,14,9,9,14,14,6,6,7,7
Whippet,12,15,22,22,40,40,19,19,25,25
Basenji,13,14,17,17,24,22,17,17,24,22
Bolognese,12,14,12,12,9,9,10,10,5.5,5.5
Smooth Fox Terrier,12,15,15.5,15.5,18,17,15.5,15.5,18,15
Field Spaniel,12,13,18,18,50,50,18,18,35,35
Havanese,14,16,11.5,11.5,13,13,8.5,8.5,7,7
Japanese Chin,10,12,11,11,11,11,8,8,7,7
Keeshond,12,15,18,18,45,45,18,18,35,35
American Eskimo Dog,13,15,26,26,65,65,24,24,45,45
American Hairless Terrier,14,16,16,16,16,16,12,12,12,12
American Leopard Hound,12,15,27,27,70,70,21,21,45,45
American Water Spaniel,10,14,18,18,45,40,15,15,30,25
Anatolian Shepherd Dog,11,13,29,29,150,120,29,29,110,80
Barbet,12,14,24.5,24.5,65,65,19,19,35,35
Bergamasco Sheepdog,13,15,23.5,23.5,84,71,23.5,23.5,70,57
Berger Picard,12,13,25.5,25.5,70,70,23.5,23.5,50,50
Boerboel,9,11,27,27,200,200,24,24,150,150
Borzoi,9,14,33,31,105,85,30,27,75,60
Bracco Italiano,10,14,27,27,90,90,21,21,55,55
Cane Corso,9,12,27.5,27.5,110,99,25,25,99,88
Coton de Tulear,15,19,11,11,15,13,10,10,9,8
Papillon,14,16,11,11,10,10,8,8,5,5
Plott Hound,12,14,25,25,60,55,20,20,50,40
Pumi,12,13,18.5,18.5,29,24,16,16,27,22
Xoloitzcuintli,13,18,25,25,60,60,19,19,28,28
Tibetan Mastiff,10,12,30,28,150,120,26,24,90,70
Samoyed,12,14,23.5,23.5,65,50,21,21,45,35
Schipperke,12,14,13,13,16,16,11,11,10,10
Rhodesian Ridgeback,10,12,27,27,85,70,25,25,85,70
Russian Toy,12,14,11,11,6.6,6.6,8,8,3.3,3.3
Nova Scotia Duck Tolling Retriever,12,14,21,21,50,50,18,18,35,35
Mudi,12,14,18.5,18.5,29,29,15,15,18,18
Alaskan Klee Kai,13,16,28,28,130,100,26,26,100,70
Jindo,14,14,22,22,50,50,18,18,30,30
Irish Terrier,13,15,18,18,27,25,18,18,27,25
Italian Greyhound,14,15,15,15,14,14,13,13,7,7
Hovawart,10,14,28,28,90,90,23,23,65,65
Cavalier King Charles Spaniel,12,15,13,13,18,18,12,12,13,13
Alaskan Malamute,10,14,25,25,85,75,25,25,85,75
Australian Cattle Dog,12,16,20,20,50,50,18,18,35,35
Miniature Pinscher,12,16,12.5,12.5,10,10,10,10,8,8
Belgian Malinois,14,16,26,26,80,60,24,24,60,40
Staffordshire Bull Terrier,12,14,16,16,38,34,14,14,28,24
American Staffordshire Terrier,12,16,19,19,70,55,18,18,55,40
Australian Shepherd,12,15,23,23,65,55,20,20,50,40
Pembroke Welsh Corgi,12,13,12,12,31,28,10,10,24,24
Yorkshire Terrier,11,15,8,8,7,7,7,7,7,7
French Bulldog,10,12,13,13,28,26,11,11,20,18
